Time (s)	Slice #	Count	Total Area	Average Size	%Area
0.4	1	9	0.882	0.098	0.019
0.8	2	9	0.761	0.085	0.016
1.2	3	10	0.857	0.086	0.019
1.6	4	8	0.664	0.083	0.014
2	5	7	0.628	0.09	0.014
2.4	6	9	0.725	0.081	0.016
2.8	7	8	0.676	0.085	0.015
3.2	8	8	0.749	0.094	0.016
3.6	9	10	0.785	0.078	0.017
4	10	7	0.785	0.112	0.017
4.4	11	8	0.712	0.089	0.015
4.8	12	7	0.568	0.081	0.012
5.2	13	7	0.712	0.102	0.015
5.6	14	6	0.519	0.087	0.011
6	15	5	0.507	0.101	0.011
6.4	16	6	0.604	0.101	0.013
6.8	17	6	0.737	0.123	0.016
7.2	18	6	0.652	0.109	0.014
7.6	19	6	0.628	0.105	0.014
8	20	5	0.531	0.106	0.011
8.4	21	7	0.495	0.071	0.011
8.8	22	6	0.568	0.095	0.012
9.2	23	5	0.483	0.097	0.01
9.6	24	6	0.507	0.085	0.011
10	25	7	0.531	0.076	0.011
10.4	26	7	0.737	0.105	0.016
10.8	27	7	0.58	0.083	0.013
11.2	28	8	0.857	0.107	0.019
11.6	29	6	0.604	0.101	0.013
12	30	7	0.543	0.078	0.012
12.4	31	9	0.737	0.082	0.016
12.8	32	7	0.652	0.093	0.014
13.2	33	8	0.676	0.085	0.015
13.6	34	9	0.821	0.091	0.018
14	35	9	0.869	0.097	0.019
14.4	36	10	0.869	0.087	0.019
14.8	37	9	0.664	0.074	0.014
15.2	38	8	0.664	0.083	0.014
15.6	39	7	0.471	0.067	0.01
16	40	6	0.217	0.036	0.005
16.4	41	4	0.205	0.051	0.004
16.8	42	5	0.326	0.065	0.007
17.2	43	5	0.399	0.08	0.009
17.6	44	6	0.35	0.058	0.008
18	45	5	0.266	0.053	0.006
18.4	46	3	0.169	0.056	0.004
18.8	47	4	0.217	0.054	0.005
19.2	48	5	0.35	0.07	0.008
19.6	49	3	0.157	0.052	0.003
20	50	6	0.386	0.064	0.008
20.4	51	8	0.519	0.065	0.011
20.8	52	10	0.58	0.058	0.013
21.2	53	9	2.101	0.233	0.045
21.6	54	6	2.331	0.388	0.05
22	55	7	2.149	0.307	0.046
22.4	56	6	2.149	0.358	0.046
22.8	57	6	2.017	0.336	0.044
23.2	58	5	1.437	0.287	0.031
23.6	59	6	2.089	0.348	0.045
24	60	5	1.98	0.396	0.043
24.4	61	8	3.417	0.427	0.074
24.8	62	10	3.26	0.326	0.071
25.2	63	7	3.562	0.509	0.077
25.6	64	8	3.997	0.5	0.086
26	65	10	4.178	0.418	0.09
26.4	66	9	4.178	0.464	0.09
26.8	67	10	4.033	0.403	0.087
27.2	68	9	3.236	0.36	0.07
27.6	69	8	3.176	0.397	0.069
28	70	9	3.297	0.366	0.071
28.4	71	13	3.43	0.264	0.074
28.8	72	15	3.333	0.222	0.072
29.2	73	12	2.258	0.188	0.049
29.6	74	12	1.28	0.107	0.028
30	75	11	2.548	0.232	0.055
30.4	76	10	2.306	0.231	0.05
30.8	77	13	2.017	0.155	0.044
31.2	78	13	2.089	0.161	0.045
31.6	79	11	2.174	0.198	0.047
32	80	10	2.27	0.227	0.049
32.4	81	12	2.5	0.208	0.054
32.8	82	11	2.596	0.236	0.056
33.2	83	10	2.463	0.246	0.053
33.6	84	13	2.814	0.216	0.061
34	85	11	3.164	0.288	0.068
34.4	86	10	1.654	0.165	0.036
34.8	87	9	1.352	0.15	0.029
35.2	88	13	2.669	0.205	0.058
35.6	89	12	4.371	0.364	0.095
36	90	12	4.178	0.348	0.09
36.4	91	11	5.024	0.457	0.109
36.8	92	12	4.118	0.343	0.089
37.2	93	12	4.19	0.349	0.091
37.6	94	15	3.973	0.265	0.086
38	95	12	3.997	0.333	0.086
38.4	96	12	3.647	0.304	0.079
38.8	97	15	2.62	0.175	0.057
39.2	98	16	2.645	0.165	0.057
39.6	99	11	2.463	0.224	0.053
40	100	11	2.463	0.224	0.053
40.4	101	9	1.268	0.141	0.027
40.8	102	8	1.546	0.193	0.033
41.2	103	10	1.92	0.192	0.042
41.6	104	9	2.137	0.237	0.046
42	105	9	2.331	0.259	0.05
42.4	106	9	2.222	0.247	0.048
42.8	107	13	2.355	0.181	0.051
43.2	108	9	1.811	0.201	0.039
43.6	109	9	1.968	0.219	0.043
44	110	10	2.125	0.213	0.046
44.4	111	9	2.258	0.251	0.049
44.8	112	10	2.125	0.213	0.046
45.2	113	8	1.775	0.222	0.038
45.6	114	7	1.389	0.198	0.03
46	115	5	1.437	0.287	0.031
46.4	116	5	0.809	0.162	0.017
46.8	117	7	1.473	0.21	0.032
47.2	118	9	1.956	0.217	0.042
47.6	119	6	1.751	0.292	0.038
48	120	6	1.908	0.318	0.041
48.4	121	8	1.993	0.249	0.043
48.8	122	8	1.872	0.234	0.04
49.2	123	8	1.727	0.216	0.037
49.6	124	6	1.244	0.207	0.027
50	125	5	1.28	0.256	0.028
50.4	126	5	1.208	0.242	0.026
50.8	127	5	0.386	0.077	0.008
51.2	128	5	0.845	0.169	0.018
51.6	129	11	1.183	0.108	0.026
52	130	7	1.22	0.174	0.026
52.4	131	9	1.836	0.204	0.04
52.8	132	13	1.884	0.145	0.041
53.2	133	15	1.606	0.107	0.035
53.6	134	16	2.065	0.129	0.045
54	135	15	1.884	0.126	0.041
54.4	136	13	1.594	0.123	0.034
54.8	137	13	1.908	0.147	0.041
55.2	138	12	1.546	0.129	0.033
55.6	139	12	1.413	0.118	0.031
56	140	9	1.28	0.142	0.028
56.4	141	9	1.014	0.113	0.022
56.8	142	9	1.026	0.114	0.022
57.2	143	7	0.845	0.121	0.018
57.6	144	5	0.58	0.116	0.013
58	145	4	0.725	0.181	0.016
58.4	146	4	0.712	0.178	0.015
58.8	147	3	0.712	0.237	0.015
59.2	148	6	0.797	0.133	0.017
59.6	149	7	0.869	0.124	0.019
60	150	6	0.809	0.135	0.017
60.4	151	10	0.978	0.098	0.021
60.8	152	11	0.978	0.089	0.021
61.2	153	10	0.918	0.092	0.02
61.6	154	11	1.703	0.155	0.037
62	155	13	2.125	0.163	0.046
62.4	156	12	2.777	0.231	0.06
62.8	157	16	3.091	0.193	0.067
63.2	158	16	3.502	0.219	0.076
63.6	159	19	3.611	0.19	0.078
64	160	22	3.84	0.175	0.083
64.4	161	20	3.381	0.169	0.073
64.8	162	20	3.647	0.182	0.079
65.2	163	21	3.768	0.179	0.081
65.6	164	21	3.007	0.143	0.065
66	165	23	4.251	0.185	0.092
66.4	166	20	3.961	0.198	0.086
66.8	167	17	3.671	0.216	0.079
67.2	168	15	3.937	0.262	0.085
67.6	169	21	3.478	0.166	0.075
68	170	19	3.43	0.181	0.074
68.4	171	12	2.053	0.171	0.044
68.8	172	15	1.86	0.124	0.04
69.2	173	14	2.077	0.148	0.045
69.6	174	18	2.91	0.162	0.063
70	175	15	2.306	0.154	0.05
70.4	176	16	2.029	0.127	0.044
70.8	177	15	1.558	0.104	0.034
71.2	178	12	1.389	0.116	0.03
71.6	179	13	2.113	0.163	0.046
72	180	12	2.741	0.228	0.059
72.4	181	12	2.983	0.249	0.065
72.8	182	13	3.659	0.281	0.079
73.2	183	12	3.116	0.26	0.067
73.6	184	15	3.285	0.219	0.071
74	185	14	4.311	0.308	0.093
74.4	186	13	4.057	0.312	0.088
74.8	187	12	4.48	0.373	0.097
75.2	188	12	3.635	0.303	0.079
75.6	189	11	3.635	0.33	0.079
76	190	10	5.024	0.502	0.109
76.4	191	11	4.782	0.435	0.103
76.8	192	11	4.782	0.435	0.103
77.2	193	16	4.239	0.265	0.092
77.6	194	11	4.202	0.382	0.091
78	195	11	3.43	0.312	0.074
78.4	196	12	2.258	0.188	0.049
78.8	197	11	2.101	0.191	0.045
79.2	198	13	2.391	0.184	0.052
79.6	199	11	2.476	0.225	0.054
80	200	9	2.125	0.236	0.046
80.4	201	14	3.103	0.222	0.067
80.8	202	23	3.176	0.138	0.069
81.2	203	17	3.043	0.179	0.066
81.6	204	21	2.947	0.14	0.064
82	205	22	1.92	0.087	0.042
82.4	206	21	2.005	0.095	0.043
82.8	207	20	2.331	0.117	0.05
83.2	208	18	1.751	0.097	0.038
83.6	209	15	1.642	0.109	0.036
84	210	15	2.125	0.142	0.046
84.4	211	19	2.451	0.129	0.053
84.8	212	24	2.898	0.121	0.063
85.2	213	24	3.49	0.145	0.075
85.6	214	22	2.777	0.126	0.06
86	215	22	3.454	0.157	0.075
86.4	216	24	3.78	0.157	0.082
86.8	217	24	3.937	0.164	0.085
87.2	218	25	4.806	0.192	0.104
87.6	219	24	5.76	0.24	0.125
88	220	24	6.038	0.252	0.131
88.4	221	27	6.738	0.25	0.146
88.8	222	31	8.55	0.276	0.185
89.2	223	47	8.332	0.177	0.18
89.6	224	53	9.262	0.175	0.2
90	225	50	8.489	0.17	0.184
90.4	226	40	8.199	0.205	0.177
90.8	227	44	7.415	0.169	0.16
91.2	228	40	7.089	0.177	0.153
91.6	229	49	8.429	0.172	0.182
92	230	42	8.465	0.202	0.183
92.4	231	50	8.996	0.18	0.195
92.8	232	50	9.166	0.183	0.198
93.2	233	54	10.941	0.203	0.237
93.6	234	49	10.168	0.208	0.22
94	235	46	10.53	0.229	0.228
94.4	236	48	10.385	0.216	0.225
94.8	237	55	10.663	0.194	0.231
95.2	238	50	10.023	0.2	0.217
95.6	239	47	9.781	0.208	0.212
96	240	50	10.325	0.206	0.223
96.4	241	49	9.564	0.195	0.207
96.8	242	44	8.936	0.203	0.193
97.2	243	46	9.359	0.203	0.202
97.6	244	44	9.214	0.209	0.199
98	245	46	9.612	0.209	0.208
98.4	246	49	9.637	0.197	0.208
98.8	247	49	9.709	0.198	0.21
99.2	248	53	9.624	0.182	0.208
99.6	249	49	8.562	0.175	0.185
100	250	49	8.55	0.174	0.185
100.4	251	48	8.538	0.178	0.185
100.8	252	50	8.381	0.168	0.181
101.2	253	50	8.139	0.163	0.176
101.6	254	46	7.873	0.171	0.17
102	255	41	7.487	0.183	0.162
102.4	256	43	7.173	0.167	0.155
102.8	257	39	6.436	0.165	0.139
103.2	258	36	6.702	0.186	0.145
103.6	259	36	6.34	0.176	0.137
104	260	39	6.883	0.176	0.149
104.4	261	37	6.69	0.181	0.145
104.8	262	39	6.292	0.161	0.136
105.2	263	35	6.062	0.173	0.131
105.6	264	34	5.76	0.169	0.125
106	265	30	6.243	0.208	0.135
106.4	266	25	5.495	0.22	0.119
